year,population
1951,2116011
1952,1952928
1953,1847304
1954,1749628
1955,1717966
1956,1767975
1957,1742514
1958,1698310
1959,1674185
1960,1656664
1961,1789067
1962,1765622
1963,1682403
1964,3079949
1965,3569715
1966,3530103
1967,2364611
1968,2485586
1969,2562877
1970,2478600
1971,5338010
1972,13165450
1973,3022235
1974,3122113
1975,3618554
1976,4283891
1977,4520439
1978,5328094
1979,6851152
1980,9229727
1981,9951447
1982,10715523
1983,10723929
1984,11096060
1985,12257691
1986,12961024
1987,13369014
1988,14581671
1989,14940071
1990,17535034
1991,19039486
1992,20081059
1993,22128334
1994,24758090
1995,21342734
1996,21264198
1997,20047225
1998,20124206
1999,20821442
2000,21865181
2001,19899042
2002,20891654
2003,17007546
2004,19517152
2005,21048120
2006,32860478
2007,31678201
2008,34460718
2009,36464016
2010,33922071
2011,35439622
2012,35845642
2013,42833896
2014,54947971
2015,63905056
2016,67649587
2017,72212554
2018,75746281
2019,87688807
2020,93189490
2021,102659751
2022,141485365
2023,150045987
2024,147556536